start   of      data    file.
siteNameHF-751-cal          Edited to fix time AF 131209
Probe   serial  Number:        0

Date    Meas#   T1(B)   T2      T3      T4      T5(T)   H
 4:36:27      83   1.817   1.870   1.887   1.860   1.909   0.000
 4:36:29      84   1.817   1.870   1.887   1.860   1.909   0.000
 4:36:31      85   1.819   1.871   1.887   1.860   1.909   0.000
 4:36:33      86   1.818   1.871   1.887   1.860   1.909   0.000
 4:36:35      87   1.817   1.870   1.887   1.860   1.909   0.000
 4:36:37      88   1.817   1.870   1.887   1.860   1.909   0.000
 4:36:39      89   1.817   1.870   1.886   1.860   1.909   0.000
 4:36:41      90   1.817   1.870   1.887   1.860   1.909   0.000
 4:36:43      91   1.817   1.870   1.887   1.860   1.909   0.000
 4:36:45      92   1.817   1.870   1.887   1.860   1.909   0.000
 4:36:47      93   1.817   1.870   1.887   1.860   1.909   0.000
 4:36:49      94   1.817   1.869   1.886   1.860   1.909   0.000
 4:36:51      95   1.817   1.869   1.886   1.860   1.909   0.000
 4:36:53      96   1.817   1.869   1.886   1.860   1.909   0.000
 4:36:55      97   1.817   1.870   1.887   1.860   1.909   0.000
 4:36:57      98   1.817   1.869   1.886   1.860   1.909   0.000
 4:36:59      99   1.817   1.869   1.886   1.860   1.909   0.000
 4:37:01     100   1.817   1.869   1.886   1.860   1.909   0.000
 4:37:03     101   1.817   1.869   1.886   1.859   1.909   0.000
 4:37:05     102   1.817   1.870   1.886   1.860   1.909   0.000
 4:37:07     103   1.817   1.870   1.887   1.860   1.909   0.000
 4:37:09     104   1.817   1.870   1.887   1.860   1.909   0.000
 4:37:11     105   1.817   1.870   1.886   1.860   1.909   0.000
 4:37:13     106   1.817   1.870   1.886   1.860   1.909   0.000
 4:37:15     107   1.817   1.870   1.886   1.860   1.909   0.000
 4:37:17     108   1.817   1.870   1.886   1.860   1.909   0.000
 4:37:19     109   1.817   1.870   1.887   1.860   1.909   0.000
 4:37:21     110   1.817   1.870   1.887   1.860   1.909   0.000
 4:37:23     111   1.817   1.870   1.886   1.860   1.909   0.000
 4:37:25     112   1.817   1.870   1.887   1.860   1.909   0.000
 4:37:27     113   1.817   1.870   1.887   1.860   1.909   0.000
 4:37:29     114   1.818   1.870   1.887   1.860   1.909   0.000
 4:37:31     115   1.817   1.870   1.886   1.860   1.909   0.000
 4:37:33     116   1.817   1.870   1.887   1.860   1.909   0.000
 4:37:35     117   1.817   1.870   1.887   1.860   1.909   0.000
 4:37:37     118   1.817   1.870   1.887   1.860   1.909   0.000
 4:37:39     119   1.817   1.870   1.886   1.860   1.909   0.000
 4:37:41     120   1.817   1.870   1.886   1.860   1.909   0.000
 4:37:43     121   1.816   1.870   1.887   1.860   1.909   0.000
 4:37:45     122   1.817   1.870   1.887   1.860   1.909   0.000
 4:37:47     123   1.817   1.870   1.887   1.860   1.909   0.000
 4:37:49     124   1.818   1.870   1.887   1.860   1.909   0.000
 4:37:51     125   1.818   1.870   1.887   1.860   1.909   0.000
 4:37:53     126   1.817   1.870   1.887   1.860   1.909   0.000
 4:37:55     127   1.818   1.870   1.887   1.860   1.909   0.000
 4:37:57     128   1.817   1.870   1.887   1.860   1.909   0.000
 4:37:59     129   1.818   1.870   1.887   1.860   1.910   0.000
 4:38:01     130   1.818   1.870   1.887   1.860   1.909   0.000
 4:38:03     131   1.817   1.870   1.887   1.860   1.909   0.000
 4:38:05     132   1.817   1.870   1.887   1.860   1.909   0.000
 4:38:07     133   1.817   1.870   1.886   1.860   1.909   0.000
